TOC_Event_Id,Location_ID,Sample_Date,TOC_pct,TOC_BDL,TN_pct,TN_BDL,Notes,Lab_methods,Lab,Certified_Date,Certified_By
29,CACO_Hx29_18,7/30/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
30,CACO_Hx30_36,8/23/2019,0.739,FALSE,0.102,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
31,CACO_SpA_10,8/23/2019,0.476,FALSE,0.067,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
32,CACO_SpB_10,7/30/2019,2.414,FALSE,0.388,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
33,CACO_SpC_11,7/30/2019,4.204,FALSE,0.617,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
34,CACO_SpD_11,7/19/2019,0.928,FALSE,0.133,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
35,CACO_SpE_13,7/19/2019,3.533,FALSE,0.457,FALSE,two new oyster farms in pond (oysters were quarter-sized),EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
36,CACO_SpF_10,7/19/2019,3.419,FALSE,0.533,FALSE,water is orange/green colored,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
37,CACO_SpG_10,7/19/2019,3.664,FALSE,0.423,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
38,CACO_SpH_10,7/19/2019,1.549,FALSE,0.194,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
39,CACO_SpI_14,7/19/2019,2.720,FALSE,0.440,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
40,CACO_SpJ_10,7/19/2019,1.983,FALSE,0.280,FALSE,eelgrass at site,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
41,CACO_SpK_19,7/19/2019,3.912,FALSE,0.529,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
42,CACO_SpL_9,7/19/2019,2.480,FALSE,0.308,FALSE,eelgrass at site,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
43,FIIS_Hx01_11,7/24/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
44,FIIS_Hx02_12,7/24/2019,0.500,FALSE,0.052,FALSE,eelgrass present,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
45,FIIS_Hx03_11,7/24/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
46,FIIS_Hx04_12,7/24/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
47,FIIS_Hx05_A,7/24/2019,,TRUE,0.017,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
48,FIIS_Hx06_11,7/24/2019,0.204,FALSE,0.022,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
49,FIIS_Hx07_11,7/24/2019,,TRUE,0.016,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
50,FIIS_Hx08_11,7/24/2019,0.448,FALSE,0.050,FALSE,eelgras + ruppia present,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
51,FIIS_Hx09_11,7/24/2019,0.835,FALSE,0.095,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
52,FIIS_Hx10_A,7/24/2019,,TRUE,0.015,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
53,FIIS_Hx11_11,7/24/2019,,TRUE,0.015,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
54,FIIS_Hx12_11,7/24/2019,,TRUE,0.015,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
55,FIIS_Hx13_11,7/24/2019,,TRUE,0.015,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
56,FIIS_Hx14_11,7/24/2019,,TRUE,0.014,FALSE,eelgrass + ruppia present,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
57,FIIS_Hx15_A,7/24/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
58,FIIS_Hx16_11,7/24/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
59,FIIS_Hx17_11,7/25/2019,,TRUE,0.022,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
60,FIIS_Hx18_11,7/25/2019,,TRUE,0.019,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
61,FIIS_Hx19_11,7/25/2019,,TRUE,0.019,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
62,FIIS_Hx20_A,7/25/2019,0.366,FALSE,0.053,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
63,FIIS_Hx21_13,7/25/2019,0.280,FALSE,0.044,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
64,FIIS_Hx22_11,7/25/2019,0.941,FALSE,0.122,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
65,FIIS_Hx23_12,7/25/2019,0.087,FALSE,0.124,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
66,FIIS_Hx24_12,7/25/2019,,TRUE,0.025,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
67,FIIS_Hx25_A,7/25/2019,0.598,FALSE,0.087,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
68,FIIS_Hx26_12,7/25/2019,,TRUE,,TRUE,many tiny Gemma gemma,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
69,FIIS_Hx27_11,7/25/2019,0.269,FALSE,0.044,FALSE,eelgrass + ruppia present,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
70,FIIS_Hx28_11,7/25/2019,0.244,FALSE,0.041,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
71,FIIS_Hx29_11,7/25/2019,,TRUE,,TRUE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
72,FIIS_Hx30_A,7/25/2019,2.816,FALSE,0.425,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
73,GEWA_Hx01_01,8/26/2019,5.312,FALSE,0.524,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
74,GEWA_Hx02_06,8/26/2019,2.871,FALSE,0.423,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
75,GEWA_Hx03_06,8/26/2019,3.021,FALSE,0.390,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
76,GEWA_Hx04_06,8/26/2019,1.790,FALSE,0.180,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
77,GEWA_Hx05_06,8/26/2019,2.691,FALSE,0.368,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
78,GEWA_Hx06_01,8/26/2019,2.561,FALSE,0.309,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
79,GEWA_Hx07_06,8/26/2019,2.311,FALSE,0.325,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
80,GEWA_Hx08_06,8/26/2019,3.125,FALSE,0.382,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
81,GEWA_Hx09_06,8/26/2019,2.952,FALSE,0.363,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
82,GEWA_Hx10_06,8/26/2019,2.177,FALSE,0.293,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
83,GEWA_Hx11_06,8/26/2019,2.700,FALSE,0.309,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
84,GEWA_Hx12_06,8/26/2019,2.206,FALSE,0.209,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
85,GEWA_Hx13_01,8/26/2019,1.929,FALSE,0.257,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
86,GEWA_Hx14_06,8/26/2019,2.007,FALSE,0.221,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
87,GEWA_Hx15_06,8/26/2019,1.781,FALSE,0.266,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
88,GEWA_Hx16_07,8/26/2019,0.738,FALSE,0.054,FALSE,,EPA/600/R-92/121  Method 440.0 Determination of Carbon and Nitrogen in Sediments and Particulates of Estuarine/Coastal Waters Using Elemental Analysis,"Virginia Institute of Marine Science, Analytical Service Center",6/17/2020,20100701114106-301948010.921478-NCBN
